연번,보고서명,유적사업명,발간기관,제출일,조사시도,조사시군구,주소,조사면적,조사기간,유적성격,시대
589,강릉 굴산사지(사적 제448호) 발굴조사 보고서 2,강릉 굴산사지 4차 발굴조사,국립중원문화재연구소,2017-10-26,강원,강릉시, ,,,,
590,부안 원천리 유적,전북 부안 원천지구 하천환경정비사업부지 내 유적,(재)전북문화재연구원,2017-10-26,전북,부안군, ,,,,
591,서울 을지로6가 58-5번지 유적,서울 중구 KT을지지사 복합시설 개발사업부지 내 유적,(재)한울문화재연구원,2017-10-26,서울,중구, ,,,,
592,강릉 굴산사지(사적 제448호) 발굴조사 보고서 2,강릉 굴산사지(사적 제448호) 발굴조사(5차),국립중원문화재연구소,2017-10-26,강원,강릉시, ,,,,
593,서울 삼성동 73번지 유적,서울 강남 봉은사 전통문화체험관 신축부지 내 유적,(재)한울문화재연구원,2017-10-27,서울,강남구, ,,,,
594,울산 신천동 191번지 유적,울산 북구 신천동 191번지 B부지 내 유적,(재)한국문화재연구원,2017-10-27,울산,북구, ,,,,
595,칠곡 인평리 659-2번지 유적,칠곡 한양칠곡 지역주택조합 공동주택단지 조성부지 내 유적,(재)한국문화재연구원,2017-10-27,경북,칠곡군, ,,,,
596,홍천 신장대리 57-7번지 일원 주택부지 내 유적 발굴조사 보고서,홍천 신장대리 57-7번지 일원 주택부지 내 유적,(재)국강고고학연구소,2017-10-27,강원,홍천군, ,,,,
597,동구릉(숭릉) 연지 및 외연지,동구릉(숭릉) 연지 및 외연지,(재)대한문화재연구원,2017-10-30,경기,구리시, ,,,,
598,장수군 관내 산성 및 봉수 발굴(정밀·시굴)조사 보고서 장수 합미·침령산성 Ⅰ,"장수군 관내 산성 및 봉수 발굴(정밀, 시굴)조사",군산대학교박물관,2017-10-31,전북,장수군, ,,,,
599,경주 검단리 산38-3?4번지 일원 공장조성부지내 慶州 檢丹里 山38-3番地 遺蹟,경주 검단리 산38-3ㆍ4번지 일원 공장조성부지내 유적,(재)세종문화재연구원,2017-10-31,경북,경주시, ,,,,
600,울산 동동 64-15번지 건물지 유적,울산 중구 동동 64-15번지 단독주택부지 내 유적,(재)울산연구원,2017-10-31,울산,중구, ,,,,
601,牙山 新昌鶴城,아산 신창 학성 발굴조사,(재)동방문화재연구원,2017-11-01,충남,아산시, ,,,,
